Week of June 24th 2019,,,,
Day,Shortlisting/Applying,Interviewing/Challenges,Prepping,
Monday,,,,
Tuesday,,,,
Wednesday,,90,,
Thursday,40,40,100,
Friday,,60,120,
Saturday,,20,,
Sunday,,,120,
,,,,
Total:,40,210,340,
,,,,
,,,Weekly total,590
