Week of August 26th 2019,,,,
Day,Shortlisting/Applying,Interviewing/Challenges,Prepping,
Monday,,,120,
Tuesday,30,,,
Wednesday,30,,60,
Thursday,,,,
Friday,,,,
Saturday,,,45,
Sunday,,,,
,,,,
Total:,60,0,225,
,,,,
,,,Weekly total,285
