Week of August 12th 2019,,,,
Day,Shortlisting/Applying,Interviewing/Challenges,Prepping,
Monday,,,,
Tuesday,,,70,
Wednesday,,60,,
Thursday,25,,,
Friday,,,40,
Saturday,,,,
Sunday,,,,
,,,,
Total:,25,60,110,
,,,,
,,,Weekly total,195
