Week of June 17th 2019,,,,
Day,Shortlisting/Applying,Interviewing/Challenges,Prepping,
Monday,30,15,60,
Tuesday,,65,,
Wednesday,30,40,,
Thursday,,25,25,
Friday,,,,
Saturday,,,,
Sunday,,,,
,,,,
Total:,60,145,85,
,,,,
,,,Weekly total,290
