Week of August 5th 2019,,,,
Day,Shortlisting/Applying,Interviewing/Challenges,Prepping,
Monday,,,,
Tuesday,,70,30,
Wednesday,,180,,
Thursday,,,60,
Friday,,,,
Saturday,,,,
Sunday,,,,
,,,,
Total:,0,250,90,
,,,,
,,,Weekly total,340
