Week of June 10th 2019,,,,
Day,Shortlisting/Applying,Interviewing/Challenges,Prepping,
Monday,45,,,
Tuesday,,,,
Wednesday,,110,,
Thursday,40,,30,
Friday,,,,
Saturday,,,35,
Sunday,20,,,
,,,,
Total:,105,110,65,
,,,,
,,,Weekly total,280
