Week of July 8th 2019,,,,
Day,Shortlisting/Applying,Interviewing/Challenges,Prepping,
Monday,,,105,
Tuesday,,,90,
Wednesday,,60,95,
Thursday,,15,100,
Friday,,,150,
Saturday,,,130,
Sunday,40,,100,
,,,,
Total:,40,75,770,
,,,,
,,,Weekly total,885
