Week of August 19th 2019,,,,
Day,Shortlisting/Applying,Interviewing/Challenges,Prepping,
Monday,,,,
Tuesday,,,,
Wednesday,,120,90,
Thursday,,,,
Friday,,,45,
Saturday,75,,,
Sunday,,,45,
,,,,
Total:,75,120,180,
,,,,
,,,Weekly total,375
,,,Total time hunting,6525
