Week of July 15th 2019,,,,
Day,Shortlisting/Applying,Interviewing/Challenges,Prepping,
Monday,,180,,
Tuesday,,25,20,
Wednesday,,75,130,
Thursday,,120,60,
Friday,,120,,
Saturday,,,105,
Sunday,,,60,
,,,,
Total:,0,520,375,
,,,,
,,,Weekly total,895
