Week of July 22nd 2019,,,,
Day,Shortlisting/Applying,Interviewing/Challenges,Prepping,
Monday,70,,,
Tuesday,,45,140,
Wednesday,,,100,
Thursday,,60,15,
Friday,,,150,
Saturday,,,70,
Sunday,15,,180,
,,,,
Total:,85,105,655,
,,,,
,,,Weekly total,845
